zip_code,vehicles,lat,lon
93015,6496.0,34.3996,-118.91521
93021,18497.0,48.04951,17.70584
93022,360.0,34.4021,-119.29837000000002
93023,6008.0,34.46088,-119.26109999999998
93030,30010.0,47.99618999999999,17.40928
93031,151.0,47.98306,17.36277
93033,46494.0,47.94893,17.45507
93034,12.0,47.99206,17.47905
93035,10178.0,48.02429,17.51493
93036,22061.0,48.03862,17.49648
93041,5355.0,48.0646,17.35597
93060,14921.0,34.35673,-119.07579
93063,32789.0,34.27949,-118.69851
93065,48067.0,34.26408,-118.77056
93066,24.0,34.27989,-119.01415
93101,10410.0,48.02628,17.31405
93102,32.0,55.54562,21.12097
93103,5446.0,55.53957,21.11743
93105,8694.0,55.62433,21.13157
93106,24.0,34.42477,-119.86007
93108,2651.0,34.43515,-119.63359
93109,1458.0,34.4038,-119.72105
93110,4140.0,34.44009,-119.76675
93111,5859.0,34.44387,-119.804
93117,16837.0,34.44191,-119.88333
93140,12.0,34.42,-119.68
93202,221.0,55.68097,21.15905
93203,6085.0,35.16591,-118.85877
93204,1813.0,55.67897,21.1531
93206,57.0,55.67951,21.15242
93210,3153.0,55.95587,24.58461
93212,3967.0,55.68182,21.15114
93215,20314.0,55.68286,21.15238
93216,39.0,55.67869,21.15647
93219,2079.0,55.68436,21.15873
93221,3998.0,55.68466,21.15388
93222,14.0,55.68501,21.15581
93223,2588.0,55.68457,21.15843
93224,80.0,55.68484,21.15059
93225,145.0,55.68735,21.15551
93227,42.0,36.27834,-119.42885
93230,37322.0,36.33481,-119.64977999999999
93234,735.0,55.68696,21.14581
93235,219.0,55.68969,21.14859
93240,98.0,55.682219999999994,21.14765
93241,3646.0,55.6808,21.14865
93242,24.0,55.67997,21.14831
93245,12811.0,55.67908,21.15123
93247,5496.0,55.67718,21.1479
93249,53.0,55.67848999999999,21.14671
93250,4184.0,55.67676000000001,21.14789
93251,15.0,55.67657,21.14886
93252,11.0,55.67552,21.14949
93256,723.0,55.6774,21.14956
93257,40474.0,55.67754000000001,21.14975
93258,39.0,55.67732,21.15071
93261,36.0,35.79857,-119.11055
93263,8693.0,55.66584999999999,21.15572
93265,24.0,36.15427,-118.75888
93267,534.0,55.660940000000004,21.16194
93268,3626.0,55.66014,21.16247
93270,640.0,55.64937,21.15932
93271,12.0,36.44165,-118.86005
93272,168.0,55.67496,21.16384
93274,42856.0,36.20422,-119.3415
93276,14.0,35.27893,-119.34989
93277,22946.0,55.66934,21.14862
93279,25.0,55.68387,21.1778
93280,7535.0,35.59692,-119.35463
93286,1725.0,36.42628,-119.10027
93290,11.0,55.67219,21.1581
93291,31579.0,36.34642,-119.33229
93292,20724.0,36.33522,-119.25689000000001
93301,4060.0,47.86465,17.75904
93303,43.0,35.21,-119.09
93304,17245.0,35.33839,-119.02051
93305,8806.0,35.38634,-118.98308
93306,34275.0,35.39251,-118.92045000000002
93307,43518.0,35.32213,-118.98254
93308,25794.0,35.43426,-119.02201
93309,25083.0,35.33935,-119.06298
93311,28146.0,35.31958,-119.11453
93312,29550.0,35.39452,-119.12032
93313,34096.0,35.28755,-119.05666
93314,17820.0,35.38265,-119.16359
93380,228.0,35.63727,-119.07595
93384,25.0,35.37,-119.02004
93390,12.0,20.51159,-97.43512
93401,12789.0,48.21463,18.61104
93402,4061.0,35.31582,-120.8347
93408,12.0,35.28431,-120.66373
93420,14136.0,35.1197,-120.56278000000002
93422,14872.0,35.47865,-120.67166
93427,595.0,34.61475,-120.20196
93428,590.0,35.56429,-121.08274
93430,13.0,35.44748,-120.88763
93433,2189.0,35.12021,-120.61828
93434,1191.0,34.96211,-120.57747
93436,26115.0,34.65766,-120.45133999999999
93437,11.0,34.74186,-120.5245
93442,2045.0,35.37936,-120.84815
93444,8872.0,35.03328,-120.50263000000001
93445,294.0,35.10376,-120.60915
93446,25632.0,35.63679,-120.69933000000002
93447,72.0,48.21627,18.61909
93449,1009.0,35.14748,-120.64847
93451,107.0,35.79038,-120.62892000000001
93452,16.0,35.666,-121.20674
93454,19128.0,34.95752,-120.405
93455,23992.0,34.88639,-120.42996
